country,date,count
NL,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,20
CN,2013-06-01T00:00:00.000Z,20
CD,2013-06-01T00:00:00.000Z,7
IR,2013-06-01T00:00:00.000Z,1
IN,2013-06-01T00:00:00.000Z,5
NL,2013-06-01T00:00:00.000Z,2
IT,2013-06-01T00:00:00.000Z,5
AU,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,5
SE,2013-06-01T00:00:00.000Z,2
BR,2013-06-01T00:00:00.000Z,8
NO,2013-06-01T00:00:00.000Z,4
ZW,2013-06-01T00:00:00.000Z,1
FR,2013-06-01T00:00:00.000Z,2
RU,2013-06-01T00:00:00.000Z,2
RS,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,2
TR,2013-06-01T00:00:00.000Z,2
FR,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,1
ES,2013-06-01T00:00:00.000Z,6
US,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,3
FR,2013-06-01T00:00:00.000Z,16
AR,2013-06-01T00:00:00.000Z,3
VE,2013-06-01T00:00:00.000Z,8
CO,2013-06-01T00:00:00.000Z,1
ES,2013-06-01T00:00:00.000Z,1
IN,2013-06-01T00:00:00.000Z,4
NG,2013-06-01T00:00:00.000Z,1
AR,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
GF,2013-06-01T00:00:00.000Z,1
AR,2013-06-01T00:00:00.000Z,3
CA,2013-06-01T00:00:00.000Z,23
PG,2013-06-01T00:00:00.000Z,1
GR,2013-06-01T00:00:00.000Z,1
SO,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,2
DE,2013-06-01T00:00:00.000Z,1
VE,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
BR,2013-06-01T00:00:00.000Z,3
EG,2013-06-01T00:00:00.000Z,1
PT,2013-06-01T00:00:00.000Z,1
VE,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
SS,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
NL,2013-06-01T00:00:00.000Z,2
IE,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,2
DE,2013-06-01T00:00:00.000Z,1
RS,2013-06-01T00:00:00.000Z,1
PA,2013-06-01T00:00:00.000Z,1
BG,2013-06-01T00:00:00.000Z,1
CA,2013-06-01T00:00:00.000Z,3
VN,2013-06-01T00:00:00.000Z,4
GT,2013-06-01T00:00:00.000Z,2
MX,2013-06-01T00:00:00.000Z,1
SL,2013-06-01T00:00:00.000Z,4
RS,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
FR,2013-06-01T00:00:00.000Z,2
BR,2013-06-01T00:00:00.000Z,7
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,5
AR,2013-06-01T00:00:00.000Z,15
PH,2013-06-01T00:00:00.000Z,1
SL,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,8
NL,2013-06-01T00:00:00.000Z,2
FR,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
MR,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,10
US,2013-06-01T00:00:00.000Z,4
DE,2013-06-01T00:00:00.000Z,1
IE,2013-06-01T00:00:00.000Z,1
GT,2013-06-01T00:00:00.000Z,4
JM,2013-06-01T00:00:00.000Z,21
CH,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
UA,2013-06-01T00:00:00.000Z,5
GT,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,10
VE,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
BE,2013-06-01T00:00:00.000Z,4
US,2013-06-01T00:00:00.000Z,1
IN,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
DO,2013-06-01T00:00:00.000Z,2
US,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
IQ,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,1
AF,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
PH,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,10
MY,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,11
US,2013-06-01T00:00:00.000Z,1
KE,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,15
US,2013-06-01T00:00:00.000Z,2
NG,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,4
MY,2013-06-01T00:00:00.000Z,30
IN,2013-06-01T00:00:00.000Z,2
ID,2013-06-01T00:00:00.000Z,3
PL,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
CA,2013-06-01T00:00:00.000Z,1
UA,2013-06-01T00:00:00.000Z,2
FR,2013-06-01T00:00:00.000Z,10
US,2013-06-01T00:00:00.000Z,2
MA,2013-06-01T00:00:00.000Z,1
PK,2013-06-01T00:00:00.000Z,1
ZA,2013-06-01T00:00:00.000Z,1
PK,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,1
NG,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,4
KE,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,41
NL,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,2
NG,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,5
NL,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,3
AU,2013-06-01T00:00:00.000Z,2
ID,2013-06-01T00:00:00.000Z,5
NL,2013-06-01T00:00:00.000Z,5
GB,2013-06-01T00:00:00.000Z,31
NL,2013-06-01T00:00:00.000Z,2
GB,2013-06-01T00:00:00.000Z,1
IS,2013-06-01T00:00:00.000Z,1
KW,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,2
BE,2013-06-01T00:00:00.000Z,6
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,2
PK,2013-06-01T00:00:00.000Z,1
CI,2013-06-01T00:00:00.000Z,7
NG,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,3
US,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,1
PL,2013-06-01T00:00:00.000Z,1
PT,2013-06-01T00:00:00.000Z,2
AU,2013-06-01T00:00:00.000Z,5
FR,2013-06-01T00:00:00.000Z,1
CH,2013-06-01T00:00:00.000Z,6
FR,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,1
CA,2013-06-01T00:00:00.000Z,3
CH,2013-06-01T00:00:00.000Z,1
SE,2013-06-01T00:00:00.000Z,9
US,2013-06-01T00:00:00.000Z,15
NL,2013-06-01T00:00:00.000Z,1
DE,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
AF,2013-06-01T00:00:00.000Z,1
CN,2013-06-01T00:00:00.000Z,1
NO,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,4
IE,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,3
BE,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,10
US,2013-06-01T00:00:00.000Z,1
CN,2013-06-01T00:00:00.000Z,1
IT,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,5
